stock_id,company,market_eligibility,theme_id,theme_name,proposed_role,source_type,publisher,published_date,source_url,evidence_summary,confidence,research_status,user_review_status,user_decision,user_note
5443,均豪,listed_otc,ROBOT_SYSTEM_INTEGRATION,機器人系統整合,core,company_official,GPM,2026-08-31,https://www.gpmcorp.com.tw/products_detail.php?plevel1Id=1&productId=G,官方智慧物流方案明列機器人彈性加工系統並具客戶導入,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
5443,均豪,listed_otc,ROBOT_AMR,AMR／自主移動機器人,related,company_official,GPM,2026-08-31,https://www.gpmcorp.com.tw/products_detail.php?plevel1Id=1&productId=G,官方智慧物流頁明列Mobile Robot,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
4571,鈞興-KY,listed_otc,ROBOT_TRANSMISSION,機器人傳動／減速機,emerging,company_prospectus,KHGEARS,2019-08-10,https://www.khgears.com/edit_file/file/20190810/20190810144054_57205.pdf,正式公開說明書支持工業機器人諧波減速機與小批量訂單且後續資料確認出貨,high,second_source_confirmed,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2233,宇隆,listed_otc,ROBOT_TRANSMISSION,機器人傳動／減速機,emerging,financial_media,CNA,2026-07-02,https://www.cna.com.tw/news/afe/202607020195.aspx,法說報導確認諧波與微型行星減速機及人形機器人新事業,medium_high,second_source_confirmed,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2233,宇隆,listed_otc,ROBOT_ACTUATION,機器人致動／關節模組,emerging,financial_media,CNA,2026-07-02,https://www.cna.com.tw/news/afe/202607020195.aspx,法說報導確認致動器產品及人形機器人布局,medium_high,second_source_confirmed,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
4583,台灣精銳,listed_otc,ROBOT_TRANSMISSION,機器人傳動／減速機,core,official_regulator,中科管理局,2026-08-18,https://www.ctsp.gov.tw/chinese/03-Intro/05-search_view.aspx?fr=1028&no=1033&sn=C0072&v=1,官方園區資料明列超精密行星齒輪減速機產品,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
4583,台灣精銳,listed_otc,ROBOT_ACTUATION,機器人致動／關節模組,related,official_regulator,中科管理局,2026-08-18,https://www.ctsp.gov.tw/chinese/03-Intro/05-search_view.aspx?fr=1028&no=1033&sn=C0072&v=1,官方園區資料明列機電整合伺服驅動系統及工業用機器人,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2392,正崴,listed_otc,ROBOT_BODY_PLATFORM,機器人本體／平台,related,parent_company_official,Foxlink,2025-06-04,https://www.foxlink.com/web/%E7%89%A9%E7%90%86-ai-%E5%A0%B4%E6%99%AF%E5%9C%A8%E5%8F%B0%E5%AF%A6%E7%8F%BE%EF%BC%81sync-robotic-%E7%99%BC%E5%B8%83-ai-%E6%A9%9F%E5%99%A8%E4%BA%BA%E5%B9%B3%E5%8F%B0%E6%96%B9%E6%A1%88-%E9%A6%96/,母公司官方明列集團旗下AI機器人平台事業且符合母子公司歸屬政策,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2392,正崴,listed_otc,ROBOT_SYSTEM_INTEGRATION,機器人系統整合,related,parent_company_official,Foxlink,2025-06-04,https://www.foxlink.com/web/%E7%89%A9%E7%90%86-ai-%E5%A0%B4%E6%99%AF%E5%9C%A8%E5%8F%B0%E5%AF%A6%E7%8F%BE%EF%BC%81sync-robotic-%E7%99%BC%E5%B8%83-ai-%E6%A9%9F%E5%99%A8%E4%BA%BA%E5%B9%B3%E5%8F%B0%E6%96%B9%E6%A1%88-%E9%A6%96/,官方資料支持集團算力精密製造資源與子公司場域驗證整合,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
6166,凌華,listed_otc,ROBOT_EDGE_AI,機器人邊緣AI,core,company_official,ADLINK,2026-08-31,https://www.adlinktech.com/tw/robotics,官方Industrial Robotics方案明列機器人Edge AI運算,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
6166,凌華,listed_otc,ROBOT_AMR,AMR／自主移動機器人,related,company_official,ADLINK,2026-08-31,https://www.adlinktech.com/tw/robotics,官方機器人方案明列AMR應用,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
6166,凌華,listed_otc,ROBOT_BODY_PLATFORM,機器人本體／平台,emerging,company_official,ADLINK,2026-08-31,https://www.adlinktech.com/tw/robotics,官方展示Moby人形機器人及四足機器人方案,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2317,鴻海,listed_otc,ROBOT_BODY_PLATFORM,機器人本體／平台,core,company_official,Foxconn,2026-03-17,https://www.foxconn.com.tw/en-us/press-center/events/foxconn-events/1975,官方展示自研工業人形機器人並與NVIDIA合作,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
2317,鴻海,listed_otc,ROBOT_SYSTEM_INTEGRATION,機器人系統整合,core,company_official,Foxconn,2026-03-17,https://www.foxconn.com.tw/en-us/press-center/events/foxconn-events/1975,官方資料確認機器人已進入製造場域驗證與部署,high,evidence_ready,reviewed,approved,2026-09-02 user approved 52 robotics subtheme mappings
