stock_id,company,market_eligibility,primary_segment,secondary_segments,current_robot_theme_ids,evidence_basis,classification_status,next_action
4555,氣立,listed_otc,ROBOT_PNEUMATICS,,ROBOT_COMPONENTS,研究證據支持機器人與自動化應用之氣動元件供應,taxonomy_candidate,retain_broad_theme_until_cluster_forms
4576,大銀微系統,listed_otc,ROBOT_ACTUATION,ROBOT_CONTROL_SYSTEM,ROBOT_COMPONENTS,研究證據支持AI機器人驅動系統與人形機器人關鍵元件,taxonomy_candidate,user_review_subthemes
4585,達明,listed_otc,ROBOT_BODY_PLATFORM,ROBOT_VISION;ROBOT_SYSTEM_INTEGRATION,ROBOTICS,官方定位為協作機器人品牌與生產商並提供內建視覺及智慧工廠方案,taxonomy_candidate,user_review_subthemes
6570,維田,listed_otc,ROBOT_VISION,,ROBOT_VISION,官方公開結合機械手臂與AI運算平台的AOI視覺檢測手臂方案,taxonomy_candidate,review_existing_theme_depth
4566,時碩工業,listed_otc,ROBOT_STRUCTURE_PARTS,,ROBOT_COMPONENTS,證據支持人形機器人精密金屬關鍵零配件關節零件與減速器布局,taxonomy_candidate,retain_broad_theme_until_cluster_forms
1536,和大,listed_otc,ROBOT_TRANSMISSION,,ROBOT_COMPONENTS,法說資料明列人形機器人用諧波與行星減速器及關節應用,taxonomy_candidate,user_review_subthemes
2464,盟立,listed_otc,ROBOT_BODY_PLATFORM,ROBOT_CONTROL_SYSTEM;ROBOT_ACTUATION;ROBOT_TRANSMISSION;ROBOT_AMR;ROBOT_SYSTEM_INTEGRATION,ROBOTICS;ROBOT_COMPONENTS,官方具身智能事業群涵蓋輪型四足平台自主控制AI感知諧波減速機與關節模組,taxonomy_candidate,user_review_subthemes
1504,東元,listed_otc,ROBOT_ACTUATION,ROBOT_CONTROL_SYSTEM,ROBOTICS,官方TJM Series機器人關節模組明確應用於機械手臂四足與人形機器人,taxonomy_candidate,user_review_subthemes
7942,東佑達,emerging_watch,ROBOT_BODY_PLATFORM,ROBOT_TRANSMISSION;ROBOT_ACTUATION;ROBOT_END_EFFECTOR,ROBOTICS,官方產品涵蓋單軸多軸線性機器人電動夾爪及桌上型機器人,taxonomy_candidate,monitor_market_eligibility
4590,富田,listed_otc,ROBOT_ACTUATION,,ROBOT_COMPONENTS,官方直接列出機器人與機器狗關節馬達及高扭矩密度小型馬達,taxonomy_candidate,user_review_subthemes
5443,均豪,listed_otc,ROBOT_SYSTEM_INTEGRATION,ROBOT_AMR,ROBOTICS,官方智慧物流方案明列Mobile Robot與機器人彈性加工系統,taxonomy_candidate,user_review_subthemes
4571,鈞興-KY,listed_otc,ROBOT_TRANSMISSION,,ROBOT_COMPONENTS,正式公開說明書與後續資料支持機器人諧波減速機及齒輪出貨,taxonomy_candidate,user_review_subthemes
2233,宇隆,listed_otc,ROBOT_TRANSMISSION,ROBOT_ACTUATION,ROBOT_COMPONENTS,研究證據支持諧波與微型行星減速機致動器及人形機器人新事業,taxonomy_candidate,user_review_subthemes
4583,台灣精銳,listed_otc,ROBOT_TRANSMISSION,ROBOT_ACTUATION,ROBOT_COMPONENTS,官方園區資料明列超精密行星齒輪減速機機電整合伺服驅動系統及工業機器人,taxonomy_candidate,user_review_subthemes
2392,正崴,listed_otc,ROBOT_BODY_PLATFORM,ROBOT_SYSTEM_INTEGRATION,ROBOTICS,母公司官方資料支持集團AI機器人平台事業與製造場域驗證,taxonomy_candidate,user_review_subthemes
6166,凌華,listed_otc,ROBOT_EDGE_AI,ROBOT_AMR;ROBOT_BODY_PLATFORM,ROBOTICS,官方Industrial Robotics方案涵蓋AMR四足人形機器人Edge AI並展示Moby人形機器人,taxonomy_candidate,user_review_subthemes
2317,鴻海,listed_otc,ROBOT_BODY_PLATFORM,ROBOT_SYSTEM_INTEGRATION,ROBOTICS,官方展示自研工業人形機器人且已進入製造場域驗證與部署,taxonomy_candidate,user_review_subthemes
